Instructor,Course,Semester,Course_Grade,Pre,Pre %,Post,Post %,% Change,%_Possible_Change,Normalized_Gain
D,Sci 1420,2014_Fall,90.00,22,44,27,54,10,56,0.18
D,Sci 1420,2014_Fall,84.00,11,22,18,36,14,78,0.18
D,Sci 1420,2014_Fall,70.00,6,12,15,30,18,88,0.20
D,Sci 1420,2014_Fall,84.00,16,32,23,46,14,68,0.21
D,Sci 1420,2014_Fall,81.00,17,34,24,48,14,66,0.21
D,Sci 1420,2014_Fall,91.00,13,26,21,42,16,74,0.22
D,Sci 1420,2014_Fall,77.00,20,40,27,54,14,60,0.23
D,Sci 1420,2014_Fall,89.00,21,42,28,56,14,58,0.24
D,Sci 1420,2014_Fall,76.00,10,20,20,40,20,80,0.25
D,Sci 1420,2014_Fall,89.00,19,38,27,54,16,62,0.26
D,Sci 1420,2014_Fall,91.00,13,26,23,46,20,74,0.27
D,Sci 1420,2014_Fall,77.00,22,44,30,60,16,56,0.29
D,Sci 1420,2014_Fall,98.00,30,60,36,72,12,40,0.30
D,Sci 1420,2014_Fall,96.00,31,62,37,74,12,38,0.32
D,Sci 1420,2014_Fall,74.00,9,18,22,44,26,82,0.32
D,Sci 1420,2014_Fall,79.00,25,50,33,66,16,50,0.32
D,Sci 1420,2014_Fall,90.00,16,32,28,56,24,68,0.35
D,Sci 1420,2014_Fall,95.00,25,50,34,68,18,50,0.36
D,Sci 1420,2014_Fall,91.00,23,46,33,66,20,54,0.37
D,Sci 1420,2014_Fall,93.00,18,36,30,60,24,64,0.38
D,Sci 1420,2014_Fall,99.00,26,52,35,70,18,48,0.38
D,Sci 1420,2014_Fall,81.00,31,62,39,78,16,38,0.42
D,Sci 1420,2014_Fall,65.00,0,0,23,46,46,100,0.46
D,Sci 1420,2015_Spring,83.00,19,38,20,40,2,62,0.03
D,Sci 1420,2015_Spring,88.80,12,24,14,28,4,76,0.05
D,Sci 1420,2015_Spring,85.30,22,44,24,48,4,56,0.07
D,Sci 1420,2015_Spring,95.00,28,56,30,60,4,44,0.09
D,Sci 1420,2015_Spring,81.00,19,38,22,44,6,62,0.10
D,Sci 1420,2015_Spring,69.00,19,38,23,46,8,62,0.13
D,Sci 1420,2015_Spring,78.00,21,42,25,50,8,58,0.14
D,Sci 1420,2015_Spring,86.00,15,30,20,40,10,70,0.14
D,Sci 1420,2015_Spring,97.70,24,48,28,56,8,52,0.15
D,Sci 1420,2015_Spring,49.00,16,32,22,44,12,68,0.18
D,Sci 1420,2015_Spring,58.00,12,24,19,38,14,76,0.18
D,Sci 1420,2015_Spring,66.00,18,36,24,48,12,64,0.19
D,Sci 1420,2015_Spring,72.00,18,36,24,48,12,64,0.19
D,Sci 1420,2015_Spring,80.00,10,20,19,38,18,80,0.23
D,Sci 1420,2015_Spring,98.00,30,60,35,70,10,40,0.25
D,Sci 1420,2015_Spring,92.00,23,46,30,60,14,54,0.26
D,Sci 1420,2015_Spring,89.00,24,48,31,62,14,52,0.27
D,Sci 1420,2015_Spring,88.00,10,20,21,42,22,80,0.28
D,Sci 1420,2015_Spring,76.00,13,26,24,48,22,74,0.30
D,Sci 1420,2015_Spring,90.00,19,38,29,58,20,62,0.32
